bdb_cid,smiles,mw,alogp,tpsa,hbd,hba,rotb,rings,arom_rings,fsp3,formal_charge,heavy_atoms,globularity_proxy,scaffold
2182,CCCCCCCC1=CC(=O)C2=CC=CC=C2N1,243.344,4.8532,32.86,1,1,6,2,2,0.4375,0,18,0.5555555555555556,O=c1cc[nH]c2ccccc12
2183,CC1C2CC(C(=C)C(CCC(=CC2OC1=O)C)O)O,266.3328,1.8576,66.76,2,4,0,2,0,0.6666666666666666,0,19,0.6842105263157895,C=C1CCCC=CC2OC(=O)CC2CC1
2186,CC[C@H](C)C(=O)C1=C(O[Si](C)(C)C)[C@@](O[Si](C)(C)C)(C(=O)CC=C(C)C)[C@@H](CC=C(C)C)C1=O,506.8221,7.1465,69.67,0,5,12,1,0,0.6666666666666666,0,34,0.14705882352941177,O=C1C=CCC1
2189,CC1(C2CCC1(C(=O)C2)C)C,152.2334,1.9358,17.07,0,1,0,2,0,0.9,0,11,0.6363636363636364,O=C1CC2CCC1C2
2192,CC(C)(C)C1=C(C=CC(=C1)OC)O,180.2435,2.9466,29.46,1,2,2,1,1,0.45454545454545453,0,13,0.46153846153846156,c1ccccc1
2193,CC(=O)C1=C(C(=O)C2=C(C=C(C=C2O1)OC3C(C(C(C(O3)CO)O)O)O)O)C4=CC=C(C=C4)O,474.4142,0.9013,187.12,6,11,5,4,3,0.30434782608695654,0,34,0.6470588235294118,O=c1c(-c2ccccc2)coc2cc(OC3CCCCO3)ccc12
2200,C1=CC=C(C=C1)CC(C(=O)O)N,165.1891,0.8486,63.31999999999999,0,0,3,1,1,0.2222222222222222,0,12,0.5,c1ccccc1
2201,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,204.2252,0.6263,79.11,1,0,3,2,2,0.18181818181818182,0,15,0.6,c1ccc2[nH]ccc2c1
2202,CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C,282.3322,3.1397,53.99000000000001,0,5,0,4,0,0.9333333333333333,0,20,0.8,O=C1CC2CCCC3CCC4OOC32C(O1)O4
2221,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O.[Cl-],322.6972,0.1473,112.45000000000002,5,6,1,3,3,0.0,0,22,0.7272727272727273,c1ccc(-c2ccc3ccccc3[o+]2)cc1
2223,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O.Cl,322.6972,2.821,112.45000000000002,5,6,1,3,3,0.0,1,22,0.7272727272727273,c1ccc(-c2ccc3ccccc3[o+]2)cc1
2224,Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc1.[Cl],306.6978,3.0884,92.22000000000001,4,5,1,3,3,0.0,1,21,0.7619047619047619,c1ccc(-c2ccc3ccccc3[o+]2)cc1
2227,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2C4C(C(C(C(O4)CO)O)O)O)C=C(C=C3O)CO,418.394,-0.4539,167.91,7,9,3,4,2,0.38095238095238093,0,30,0.6666666666666666,O=C1c2ccccc2C(C2CCCCO2)c2ccccc21
2230,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl,291.8157,3.2813,12.47,0,1,6,2,2,0.29411764705882354,0,20,0.6,c1ccc(Cc2ccccc2)cc1
2245,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O,198.2206,1.9954,57.28,1,3,0,3,3,0.0,0,15,0.9333333333333333,c1cnc2c(c1)ccc1cccnc12
2272,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,578.5202,3.3619,220.75999999999996,10,12,3,6,4,0.2,0,42,0.7619047619047619,c1ccc(C2CC(c3cccc4c3OC(c3ccccc3)CC4)c3ccccc3O2)cc1
