"cID","rID","RefID","Classification","THRmicroM","EC50Str","EC50mM","EC50microM","Efficacy_str","Efficacy","Efficacy_microM","Concentration_used","SequenceVariant"
"38","2115","987","Bitter","3",,,,"0.26 ? 0.08",,,,
"38","2126","987","Bitter","10",,,,"0.12 ? 0.02",,,,
"38","2137","987","Bitter","10",,,,"0.10 ? 0.07",,,,
"38","2140","987","Bitter","3","0.006 ? 0.005 mM","0.00","6","0.13 ? 0.05",,,,
"38","2144","987","Bitter","10",,,,"0.10 ? 0.03",,,,
"41","2110","987","Bitter","30.0",,,,"0.16 ? 0.06",,,,
"41","2123","987","Bitter","100.0",,,,"0.11 ? 0.02",,,,
"41","2140","987","Bitter","100.0",,,,"0.07 ? 0.03",,,,
"42","2110","987","Bitter","30.0",,,,"0.30 ? 0.12",,,,
"42","2119","987","Bitter","10.0","0.027 ? 0.005 mM","0.02","27.0","0.55 ? 0.14",,,,
"42","2121","987","Bitter","10.0","0.034 ? 0.003 mM","0.03","34.0","0.21 ? 0.03",,,,
"43","2105","987","Bitter","100",,,,"0.07 ? 0.03",,,,
"43","2110","987","Bitter","30",,,,"0.22 ? 0.09",,,,
"43","2119","987","Bitter","100",,,,"0.19 ? 0.07",,,,
"45","2105","987","Bitter","30",,,,"0.14 ? 0.09",,,,
"45","2108","987","Bitter","100",,,,"0.06 ? 0.01",,,,
"45","2109","987","Bitter","100",,,,"0.07 ? 0.02",,,,
"46","2121","987","Bitter","10","0.06 ? 0.02 mM","0.06","60","0.58 ? 0.10",,,,
"49","2105","987","Bitter","300",,,,"0.13 ? 0.06",,,,
"50","2105","987","Bitter","30.0","0.03",,,"0.16 ? 0.11",,,,
"50","2114","987","Bitter","3.0",,,,"0.53 ? 0.20",,,,
"51","2105","987","Bitter","10.0",,,,"0.01 mM",,,,
"53","2144","987","Bitter","10",,,,"0.07 ? 0.03",,,,
"54","2105","987","Bitter","100",,,,"0.08 ? 0.03",,,,
"55","2105","987","Bitter","300.0",,,,"0.10 ? 0.04",,,,
"56","2121","987","Bitter","300",,,,"0.05 ? 0.02",,,,
"58","2105","987","Bitter","3","0.011 ? 0.0004 mM","0.01","11","0.42 ? 0.07",,,,
"60","2108","987","Bitter","100",,,,"0.08 ? 0.04",,,,
"60","2140","987","Bitter","30",,,,"0.10 ? 0.04",,,,
"60","2144","987","Bitter","100",,,,"0.07 ? 0.02",,,,
"62","2105","987","Bitter","10",,,,"0.16 ? 0.09",,,,
"62","2108","987","Bitter","100",,,,"0.07 ? 0.02",,,,
"62","2110","987","Bitter","100",,,,"0.05 ? 0.01",,,,
"62","2123","987","Bitter","10",,,,"0.06 ? 0.02",,,,
"62","2137","987","Bitter","100",,,,"0.11 ? 0.01",,,,
"62","2144","987","Bitter","100",,,,"0.05 ? 0.02",,,,
"66","2110","987","Bitter","1","0.0012 ? 0.0002 mM","0.00","1.2","0.49 ? 0.13",,,,
"66","2144","987","Bitter","30",,,,"0.11 ? 0.04",,,,
"67","2105","987","Bitter","3",,,,"0.16 ? 0.08",,,,
"67","2121","987","Bitter","10",,,,"0.05 ? 0.01",,,,
"67","2135","987","Bitter","0.03","0.14 ? 0.10 mM","0.14","140","0.30 ? 0.11",,,,
"69","2105","987","Bitter","30",,,,"022 ? 0.07",,,,
"69","2119","987","Bitter","300",,,,"0.07 ? 0.01",,,,
"70","2105","987","Bitter","300.0",,,,"0.10  ? 0.0",,,,
"70","2108","987","Bitter","300.0",,,,"0.10 ? 0.03",,,,
"70","2123","987","Bitter","100.0",,,,"0.11 ? 0.03",,,,
"70","2138","987","Bitter","300.0",,,,"0.05 ? 0.02",,,,
"70","2144","987","Bitter","300.0",,,,"0.14 ? 0.07",,,,
"71","2105","987","Bitter","0.3","0.004 ? 0.004 mM","0.00","4","0.96 ? 0.24",,,,
"71","2108","987","Bitter","1000",,,,"0.18 ? 0.07",,,,
"71","2123","987","Bitter","300","0.16 ? 0.09 mM","0.16","160","0.07 ? 0.02",,,,
"71","2144","987","Bitter","1000",,,,"0.08 ? 0.02",,,,
"87","2115","987","Bitter","100",,,,"0.09 ? 0.04",,,,
"89","2105","987","Bitter","300.0","0.31 ? 0.01 mM","0.31","310.0","0.16 ? 0.06",,,,
"89","2114","987","Bitter","3000.0",,,,"0.07 ? 0.00",,,,
"90","2105","987","Bitter","30.0","0.20 ? 0.09 mM","0.2","200.0","0.36 ? 0.16",,,,
"90","2119","987","Bitter","30.0","0.08 ? 0.02 mM","0.08","80.0","0.38 ? 0.04",,,,
"91","2117","987","Bitter","1.0","0.003 ? 0.001 mM","0.00","3.0","0.24 ? 0.04",,,,
"92","2109","987","Bitter","3000",,,,"0.14 ? 0.08",,,,
"92","2126","987","Bitter","3000",,,,"0.09 ? 0.03",,,,
"92","2144","987","Bitter","3000",,,,"0.08 ? 0.04",,,,
"94","2105","987","Bitter","100",,,,"0.75 ? 0.16",,,,
"94","2123","987","Bitter","300","0.439 ? 0.008 mM","0.43","439","0.20 ? 0.04",,,,
"94","2135","987","Bitter","100",,,,"0.48 ? 0.06",,,,
"94","2140","987","Bitter","300","0.27 ? 0.03 mM","0.27","270","0.18 ? 0.04",,,,
"94","2144","987","Bitter","3000",,,,"0.07 ? 0.01",,,,
"95","2105","987","Bitter","1000",,,,"0.09 ? 0.04",,,,
"95","2121","987","Bitter","1000",,,,"0.07 ? 0.03",,,,
"95","2122","987","Bitter","1000",,,,"0.05 ? 0.01",,,,
"95","2135","987","Bitter","1000",,,,"0.10 ? 0.04",,,,
"95","2144","987","Bitter","1000",,,,"0.08 ? 0.02",,,,
"97","2105","987","Bitter","10","0.013 ? 0.003 mM","0.01","13","0.09 ? 0.04",,,,
"97","2114","987","Bitter","30","0.0042 ? 0.0009 mM","0.00","4.2","0.39 ? 0.13",,,,
"98","2105","987","Bitter","10","0.0003 ? 0.0002 mM","0.00","0.3","1.23 ? 0.20",,,,
"99","2123","987","Bitter","300.0",,,,"0.11 ? 0.04",,,,
"100","2117","987","Bitter","10.0",,,,"0.14 ? 0.04",,,,
"100","2140","987","Bitter","10.0",,,,"0.16 ? 0.06",,,,
"101","2121","987","Bitter","30","0.05 ? 0.02 mM","0.05","50","0.46 ? 0.16",,,,
"103","2126","987","Bitter","30000.0",,,,"0.13 ? 0.06",,,,
"104","2126","987","Bitter","10000",,,,"0.13 ? 0.02",,,,
"106","2105","987","Bitter","1000.0",,,,"0.08 ? 0.04",,,,
"108","2135","987","Bitter","300",,,,"0.10 ? 0.03",,,,
"111","2121","987","Bitter","3000",,,,"0.11 ? 0.06",,,,
"111","2144","987","Bitter","3000",,,,"0.07 ? 0.02",,,,
"120","2105","987","Bitter","300",,,,"031 ? 0.05",,,,
"120","2108","987","Bitter","1000",,,,"0.10 ? 0.03",,,,
"120","2120","987","Bitter","300",,,,"0.16 ? 0.02",,,,
"120","2121","987","Bitter","300",,,,"0.25 ? 0.05",,,,
"120","2135","987","Bitter","300",,,,"0.15 ? 0.06",,,,
"120","2137","987","Bitter","1000",,,,"0.07 ? 0.04",,,,
"122","2135","987","Bitter","300","0.38 ? 0.13 mM","0.38","380","0.381? 0.08",,,,
"125","2105","987","Bitter","1000",,,,"0.25 ? 0.08",,,,
"125","2109","987","Bitter","3000",,,,"0.14 ? 0.05",,,,
"125","2135","987","Bitter","100","0.189 ? 0.001 mM","0.18","189","0.35 ? 0.08",,,,
"125","2144","987","Bitter","10000",,,,"0.08 ? 0.03",,,,
"127","2117","987","Bitter","100",,,,"0.09 ? 0.03",,,,
"130","2105","987","Bitter","30",,,,"0.14 ? 0.05",,,,
"130","2140","987","Bitter","3","0.002 ? 0.001 mM","0.00","2","0.22 ? 0.02",,,,
"130","2144","987","Bitter","30",,,,"0.06 ? 0.03",,,,
"159","2105","987","Bitter","2000",,,,,,,,
"315","2105","987","Bitter","10","0.01",,,"0.22 ? 0.06",,,,
"315","2119","987","Bitter","100",,,,"0.16 ? 0.01",,,,
"315","2120","987","Bitter","30","0.03",,,"0.28 ? 0.03",,,,
"315","2121","987","Bitter","100","0.1",,,"0.09 ? 0.05",,,,
"315","2135","987","Bitter","100","0.1",,,"0.04 ? 0.01",,,,
"461","2126","987","Bitter","10000",,,,"0.12 ? 0.06",,,,
"465","2105","987","Bitter","300",,,,"0.08 ? 0.02",,,,
"465","2114","987","Bitter","1000",,,,"0.11 ? 0.02",,,,
"482","46","987","Bitter","300",,,,,,,,
"482","2117","987","Bitter","3000","0.036 ? 0.009 mM","0.03","36","0.13 ? 0.02",,,,
"514","2121","987","Bitter","30","0.17 ? 0.04 mM","0.17","170","0.65 ? 0.06",,,,
"645","2119","987","Bitter","10000",,,,,,,,
"645","2125","987","Bitter","3000",,,,"0.06 ? 0.02",,,,
"645","2126","987","Bitter","10000",,,,"0.10 ? 0.04",,,,
"654","2108","987","Bitter","30",,,,"0.06 ? 0.01",,,,
"654","2140","987","Bitter","30",,,,"0.06 ? 0.01",,,,
"672","2105","987","Bitter","30",,,,"0.12 ? 0.05",,,,
"672","2125","987","Bitter","10",,,,"0.07 ? 0.01",,,,
"689","2121","987","Bitter","1000",,,,"0.11 ? 0.03",,,,
"738","2119","987","Bitter","1000",,,,"0.24 ? 0.02",,,,
"738","2137","987","Bitter","1000",,,,"0.07 ? 0.03",,,,
"738","2144","987","Bitter","1000",,,,"0.09 ? 0.03",,,,
"749","2121","987","Bitter","100",,,,"0.51 ? 0.10",,,,
"800","2105","987","Bitter","10",,,,,,,,
"800","2125","987","Bitter","10",,,,,,,,
"813","2105","987","Bitter","1000",,,,,,,,
"813","2114","987","Bitter","1000",,,,,,,,
"813","2121","987","Bitter","1000",,,,,,,,
"813","2126","987","Bitter","1000",,,,"0.05 ? 0.02",,,,
